,StimType,Correct,RT
2,CTR,True,2086
3,CTR,False,2143
4,GES,True,3046
5,GES,True,2331
6,CTR,True,1216
7,GES,True,2513
8,CTR,False,1147
9,CTR,True,1463
10,CTR,False,1348
11,CTR,True,2774
12,GES,True,2546
13,CTR,False,729
14,CTR,True,2149
15,GES,True,2827
16,GES,True,2493
17,CTR,False,2530
18,GES,True,3146
19,GES,True,2637
20,GES,True,2541
21,CTR,False,670
22,CTR,True,2527
23,GES,True,1929
24,GES,False,3501
25,CTR,True,844
26,GES,True,2674
27,GES,True,2929
28,CTR,False,1396
29,GES,True,3360
30,CTR,False,1466
31,GES,True,2439
32,CTR,True,971
33,CTR,True,860
34,GES,True,3236
35,GES,True,2795
36,GES,True,3042
37,CTR,True,882
38,CTR,False,1150
39,GES,False,3501
